Classification	RDP	UTAX	SINTAX	Consensus
Diplomitoporus crustulinus	0	1	1	1
Dipodascaceae	2	0	0	2
Dipodascus geotrichum	0	1	0	0
Discinaceae	1	0	0	0
Discostroma tostum	0	1	0	1
Dissoconium proteae	0	1	0	0
Donadinia nigrella	0	1	0	1
Dothidea insculpta	0	47	0	47
Dothideomycetes incertae sedis	0	0	0	1
Dothideomycetes_incertae sedis	1	0	0	0
Dothiora cannabinae	0	2	0	2
Dothioraceae	123	0	0	122
Dothiorella vidmadera	0	2	0	2
Dothistroma septosporum	0	1	0	0
Drechslera poae	0	36	0	4
Echria macrotheca	0	3	0	3
Efibula gracilis	0	1	0	1
Elaphomyces muricatus	0	6	0	6
Elaphomyces papillatus	0	1	0	1
Elasticomyces elasticus	0	3	1	3
Elsinoaceae	1	0	0	1
Encoelia pruinosa	0	1	1	1
Endoconidioma populi	0	133	0	133
Endoraecium phyllodiorum	0	1	0	1
Entoloma borgenii	0	1	1	1
Entoloma brunneosericeum	0	1	0	0
Entoloma caccabus	0	1	0	1
Entoloma chytrophilum	0	2	0	2
Entoloma crassicystidiatum	0	2	0	2
Entoloma dysthales	0	12	1	12
Entoloma graphitipes f. cystidiatum	0	1	0	1
Entoloma llimonae	0	2	0	0
Entoloma milleri	0	1	0	1
Entoloma mirum	0	1	1	1
Entoloma politum	0	1	0	1
Entoloma psammophilohebes	0	1	0	0
Entoloma pulchellum	0	1	0	0
Entoloma sericeum	0	2	0	1
Entoloma strigosissimum	0	1	0	1
Entoloma sublaevisporum	0	1	0	1
Entoloma tjallingiorum var. laricinum	0	1	1	1
Entoloma yunnanense	0	2	0	2
Entolomataceae	12	0	0	11
Entyloma cosmi	0	1	0	0
Entylomataceae	1	0	0	1
Epichloe amarillans	0	422	0	88
Epichloe sylvatica	0	1	0	1
Epicoccum henningsii	0	2	0	2
Epicoccum nigrum	0	10	0	10
Eremascus fertilis	0	1	0	1
Erioscyphella curvispora	0	1	0	1
Erysiphaceae	18	0	0	13
Erysiphe polygoni	0	1	0	0
Erythricium atropatanum	0	1	1	1
Erythricium salmonicolor	0	2	0	2
Erythrobasidiales incertae sedis	0	0	0	1
Erythrobasidiales_incertae sedis	1	0	0	0
Eucasphaeria capensis	0	1	0	1
Euoidium mutisiae	0	2	0	0
Eurotiomycetes incertae sedis	0	0	0	2
Eurotiomycetes_incertae sedis	2	0	0	0
Eutypa lata	0	1	0	0
Eutypa leptoplaca	0	1	0	1
Eutypella cerviculata	0	1	0	0
Exidia candida	0	1	0	0
Exophiala bonariae	0	42	0	36
Exophiala equina	0	9	0	3
Exophiala lecanii-corni	0	2	0	1
Exophiala moniliae	0	2	0	2
Exophiala oligosperma	0	1	1	1
Exophiala pisciphila	0	1	0	0
Exophiala salmonis	0	51	0	34
Exophiala xenobiotica	0	2	0	0
Exserohilum neoregeliae	0	4	0	4
Exserohilum rostratum	0	1	0	0
Extremus antarcticus	0	4	0	4
Favolaschia sprucei	0	1	0	0
Fenestella ostryae	0	6	0	6
Fibulobasidium murrhardtense	0	1	0	1
Filobasidium magnum	0	3	0	1
Filobasidium oeirense	0	1	0	1
Filobasidium stepposum	0	4	0	3
Filobasidium wieringae	0	65	10	35
Flagelloscypha japonica	0	1	0	0
Flagelloscypha minutissima	0	10	3	3
Flagellospora fusarioides	0	3	0	3
Flammulina populicola	0	2	0	0
Flaviporus brownii	0	12	0	12
Fomitopsidaceae	6	0	0	5
Fomitopsis cajanderi	0	1	0	1
Fomitopsis pinicola	0	1	0	0
Fonsecaea nubica	0	1	0	0
Fonsecaea pedrosoi	0	1	0	1
Fontanospora fusiramosa	0	4	0	4
Funneliformis mosseae	0	2	0	0
Furcaspora eucalypti	0	3	0	3
Fusarium brachygibbosum	0	2	0	0
Fusarium concentricum	0	3	0	0
Fusarium keratoplasticum	0	1	0	0
Fusarium mahasenii	0	2	0	2
Fusarium oxysporum	0	1	0	0
Fusarium penzigii	0	1	0	0
Fusarium poae	0	1	0	0
Fusarium proliferatum	0	1	0	0
Fusarium sacchari	0	1	0	1
Fuscoporia ferruginosa	0	1	1	1
Gaeumannomyces caricis	0	9	0	8
Gaeumannomyces graminis	0	1	0	0
Gaeumannomyces radicicola	0	33	0	4
Galerina hygrophila	0	2	0	0
Galerina lubrica	0	3	0	3
Galerina pumila	0	14	0	14
Galerina sideroides	0	1	0	1
Galerina stylifera	0	1	0	1
Ganoderma resinaceum	0	1	0	1
Ganodermataceae	2	0	0	2
Gastrosporium simplex	0	3	0	3
Gautieria monticola	0	1	0	1
Geastraceae	23	0	0	18
Geastrum benitoi	0	1	0	1
Geastrum fimbriatum	0	1	0	0
Geastrum floriforme	0	1	1	1
Geastrum hungaricum	0	2	1	2
Geastrum marginatum	0	8	0	3
Geastrum minimum	0	1	1	1
Geastrum triplex	0	1	0	0
Genolevuria armeniaca	0	1	0	1
Geoglossaceae	6	0	0	3
Geoglossum cookeanum	0	2	1	1
Geoglossum fallax	0	1	1	1
Geoglossum inflatum	0	1	0	1
Geoglossum scabripes	0	1	0	0
Geomyces auratus	0	4	0	4
Geopora tolucana	0	1	0	0
Geopyxis carbonaria	0	1	0	0
Gibberella avenacea	0	18	0	9
Gibberella baccata	0	2	0	0
Gibberella tricincta	0	209	0	19
Glarea lozoyensis	0	118	0	83
Gliophorus psittacinus	0	1	0	1
Globulicium hiemale	0	1	0	1
Gloeocystidiellum kenyense	0	1	1	1
Gloeocystidiellum leucoxanthum	0	1	0	1
Gloeocystidiellum porosum	0	1	1	1
Gloeophyllaceae	1	0	0	0
Gloeophyllum sepiarium	0	1	1	1
Gloeophyllum trabeum	0	1	0	1
Gloiothele citrina	0	1	1	1
Glomeraceae	105	0	0	105
Glomerellaceae	1	0	0	1
Glomerobolus gelineus	0	2	0	2
Glomus compressum	0	1	0	1
Glomus invermaium	0	1	0	0
Glomus macrocarpum	0	3	0	1
Gloniaceae	1	0	0	1
Glutinoglossum glutinosum	0	1	1	1
Gnomoniopsis comari	0	1	0	1
Goffeauzyma gastrica	0	1	0	0
Golovinomyces artemisiae	0	1	0	0
Golovinomyces asterum	0	1	0	0
Gomphaceae	1	0	0	1
Gorgomyces honrubiae	0	5	0	5
Graphiola phoenicis	0	1	0	1
Grovesiella abieticola	0	1	0	1
Guehomyces pullulans	0	1	1	1
Gymnoascaceae	1	0	0	1
Gymnoascus reessii	0	1	0	0
Gymnopus alkalivirens	0	1	0	0
Gymnopus micromphaleoides	0	57	0	57
Gymnopus perforans	0	1	0	1
Gymnopus pinophilus	0	1	0	1
Gymnostellatospora canadensis	0	2	0	2
Gymnostellatospora japonica	0	2	0	2
Gyoerffyella entomobryoides	0	5	0	5
Gyoerffyella tricapillata	0	1	0	1
Gyrothrix circinata	0	2	0	2
Hannaella luteola	0	1	1	1
Hansfordia pulvinata	0	0	1	0
Hapalopilaceae	2	0	0	2
Harzia acremonioides	0	1	0	1
Hebeloma aanenii	0	4	0	0
Hebeloma louiseae	0	1	0	0
Hebeloma mesophaeum	0	2	0	1
Hebeloma nigellum	0	1	0	0
Hebeloma salicicola	0	1	0	0
Hebelomataceae	12	0	0	11
Helgardia anguioides	0	4	0	4
Helicodendron luteoalbum	0	5	0	5
Helicodendron triglitziense	0	1	1	1
Helicoma isiola	0	1	0	1
Helicoma vaccinii	0	1	0	1
Helotiaceae	263	0	0	261
Helotiales incertae sedis	1	0	0	130
Helotiales_incertae sedis	131	0	0	0
Hemimycena ochrogaleata	0	7	0	7
Hemimycena pseudolactea	0	1	0	1
Hericium alpestre	0	1	0	1
Herpotrichia juniperi	0	12	0	9
Herpotrichia parasitica	0	1	0	1
Herpotrichiellaceae	398	0	0	395
Heterocephalacria bachmannii	0	1	0	1
Heteroplacidium compactum	0	1	0	1
Heterosphaeria patella	0	36	0	36
Heterospora dimorphospora	0	2	0	2
Hirsutella haptospora	0	2	0	2
Hirsutella kirchneri	0	1	1	1
Hirsutella minnesotensis	0	1	0	0
Hirsutella rhossiliensis	0	1	0	0
Hirsutella vermicola	0	1	0	1
Hohenbuehelia pinacearum	0	1	0	0
Holocotylon brandegeeanum	0	4	0	2
Holtermanniella takashimae	0	0	2	1
Homophron cernuum	0	1	0	0
Hormonema macrosporum	0	64	1	33
Hormonema prunorum	0	1	0	1
Humaria hemisphaerica	0	1	0	0
Humicola grisea	0	26	0	14
Hyalopeziza nectrioidea	0	8	0	8
Hyalorbilia fusispora	0	1	0	1
Hyalorbilia juliae	0	5	1	5
Hyaloscypha albohyalina var. spiralis	0	1	0	1
Hyaloscypha leuconica var. bulbopilosa	0	47	0	47
Hyaloscyphaceae	1218	0	0	1217
Hydnangiaceae	2	0	0	2
Hydnellum cyanopodium	0	1	0	1
Hydnodontaceae	13	0	0	13
Hydnotrya cerebriformis	0	1	1	1
Hydropisphaera fungicola	0	1	1	1
Hydropunctaria maura	0	1	0	1
Hygrocybe acutoconica	0	2	1	2
Hygrocybe cantharellus	0	1	0	1
Hygrocybe conica	0	2	0	1
Hygrocybe insipida	0	1	0	1
Hygrocybe quieta	0	1	0	1
Hygrophoraceae	4	0	0	2
Hygrophorus agathosmus	0	1	1	1
Hygrophorus inocybiformis	0	1	0	1
Hygrophorus pustulatus	0	1	0	1
Hymenochaetaceae	7	0	0	5
Hymenogaster australis	0	1	1	1
Hymenogaster rubyensis	0	1	0	1
Hymenoscyphus caudatus	0	1	0	1
Hymenoscyphus fructigenus	0	1	0	1
Hymenoscyphus haasticus	0	3	0	3
Hymenoscyphus immutabilis	0	1	0	0
Hymenoscyphus repandus	0	1	0	1
Hymenoscyphus scutula	0	1	0	0
Hymenoscyphus sinicus	0	1	0	0
Hymenoscyphus tetracladius	0	4	0	3
Hyphoderma multicystidium	0	1	1	1
Hyphoderma mutatum	0	1	0	1
Hyphoderma nemorale	0	1	1	1
Hyphoderma obtusiforme	0	1	1	1
Hyphoderma sibiricum	0	1	0	1
Hyphodermataceae	1	0	0	1
Hyphodermella corrugata	0	1	0	0
Hyphodontia alutaria	0	1	1	1
Hyphodontia arguta	0	3	2	3
Hyphodontia aspera	0	1	0	1
Hyphodontia pallidula	0	2	1	2
Hyphodontiella multiseptata	0	1	1	1
Hypholoma capnoides	0	1	0	0
Hypholoma lateritium	0	1	0	1
Hypocreaceae	9	0	0	7
Hypocreales incertae sedis	10	0	0	28
Hypocreales_incertae sedis	23	0	0	0
Hyponectriaceae	61	0	0	61
Hypoxylon ferrugineum	0	1	0	1
Hypoxylon perforatum	0	2	0	2
Hypsizygus ulmarius	0	2	0	2
Hysterangium separabile	0	1	0	1
Ilyonectria macrodidyma	0	13	0	4
Ilyonectria mors-panacis	0	10	0	4
Immersiella caudata	0	1	0	1
Incrucipulum radiatum	0	5	0	5
Incrucipulum sulphurellum	0	3	0	3
Inocybaceae	9	0	0	5
Inocybe borealis	0	2	1	2
Inocybe fuscidula	0	1	0	0
Inocybe geophylla	0	1	1	1
Inocybe impexa	0	1	0	0
Inocybe lanatodisca	0	1	1	1
Inocybe malenconii	0	2	0	0
Inocybe mixtilis	0	1	1	1
Inocybe tenebrosa	0	1	0	1
Isaria farinosa	0	2	0	2
Itersonilia pannonica	0	4	1	3
Itersonilia perplexans	0	4	0	0
Johnalcornia aberrans	0	2	0	2
Juncaceicola alpina	0	10	0	10
Juncaceicola oreochloae	0	22	0	22
Juncaceicola padellana	0	48	0	48
Juncaceicola typharum	0	2	0	2
Junghuhnia nitida	0	1	0	1
Junghuhnia pseudozilingiana	0	1	0	1
Kabatiella bupleuri	0	2	0	2
Kabatiella lini	0	1	0	0
Kamienskia bistrata	0	1	0	1
Kickxellaceae	3	0	0	3
Knufia cryptophialidica	0	10	0	1
Knufia endospora	0	2	0	1
Knufia mediterranea	0	10	0	7
Knufia peltigerae	0	16	0	12
Knufia perforans	0	1	0	1
Knufia tsunedae	0	8	0	4
Kochiomyces dichotomus	0	1	0	1
Kondoa malvinella	0	2	0	2
Kondoa subrosea	0	1	0	1
Kondoa yuccicola	0	4	0	4
Kuehneromyces lignicola	0	1	0	1
Kurtzmanomyces insolitus	0	1	0	0
Kurtzmanomyces nectairei	0	14	0	3
Kurtzmanomyces tardus	0	2	0	0
Laburnicola dactylidis	0	2	0	2
Laccaria canaliculata	0	1	0	1
Laccaria pseudomontana	0	1	0	0
Laccaria trichodermophora	0	1	0	1
Lachnella villosa	0	1	0	0
Lachnellula calyciformis	0	6	0	6
Lachnellula flavovirens	0	6	0	6
Lachnellula occidentalis	0	12	0	12
Lachnum abnorme	0	5	0	5
Lachnum asiaticum	0	6	0	6
Lachnum fuscescens	0	1	0	1
Lachnum nudipes	0	7	0	5
Lachnum pygmaeum	0	1330	0	632
Lachnum rhytismatis	0	4	0	4
Lachnum soppittii	0	474	0	250
Lachnum virgineum	0	10	0	10
Lactarius helvus	0	1	1	1
Lactarius hysginus	0	1	0	1
Lactarius montanus	0	1	0	0
Lactarius paradoxus	0	1	0	0
Lactarius rufus	0	1	0	0
Lactarius scoticus	0	1	0	0
Laetisaria arvalis	0	1	0	1
Laetisaria fuciformis	0	4	0	4
Lanzia berggrenii	0	1	0	1
Lasiobelonium lonicerae	0	21	0	21
Lasiobelonium nidulum	0	2	0	2
Lasiosphaeria ovina	0	2	1	2
Lasiosphaeriaceae	43	0	0	41
Lasiosphaeris hispida	0	1	1	1
Latruncellus aurorae	0	1	0	1
Lecanicillium muscarium	0	2	0	2
Lecanicillium primulinum	0	1	0	0
Lecanicillium psalliotae	0	2	0	2
Lecanora densa	0	1	0	0
Lecanora intricata	0	1	0	1
Lecanora saligna	0	1	1	1
Lecanora sambuci	0	3	0	3
Lecanoraceae	6	0	0	6
Leccinum scabrum	0	1	0	0
Leccinum versipelle	0	1	0	0
Lecidea andersonii	0	1	0	1
Lecidea atrobrunnea	0	1	0	1
Lecidea cancriformis	0	1	0	1
Lecidea tessellata	0	2	0	2
Lecideaceae	2	0	0	2
Lecidella carpathica	0	1	0	1
Lecidella elaeochroma	0	1	0	0
Lecidella stigmatea	0	1	0	1
Lectera longa	0	1	0	0
Lemonniera centrosphaera	0	1	0	1
Lentinellus cystidiosus	0	1	0	0
Lentinellus vulpinus	0	1	0	1
Lentinus arcularius	0	1	0	1
Leotiomycetes incertae sedis	0	0	0	1
Leotiomycetes_incertae sedis	1	0	0	0
Lepiota cristata	0	1	1	1
Lepiota farinolens	0	1	0	1
Lepiota subgracilis	0	1	0	1
Lepraria neglecta	0	1	0	0
Leptographium lundbergii	0	1	0	1
Leptosphaeria bellynckii	0	3	0	3
Leptosphaeria etheridgei	0	4	0	4
Leptosphaeria marina	0	1	0	1
Leptosphaeria sclerotioides	0	1	0	1
Leptosphaeria slovacica	0	1	0	1
Leptosphaeria veronicae	0	1	0	1
Leptosphaeria weimeri	0	2	0	2
Leptosphaeriaceae	17	0	0	17
Leptosporomyces septentrionalis	0	1	0	1
Leptoxyphium madagascariense	0	1	0	1
Leratiomyces erythrocephalus	0	2	0	2
Letendraea helminthicola	0	10	0	10
Leucogaster rubescens	0	1	0	0
Leucopaxillus giganteus	0	2	1	2
Leucophleps spinispora	0	1	0	0
Leucosporidiaceae	6	0	0	6
Leucosporidium drummii	0	4	0	0
Leucosporidium fasciculatum	0	2	0	1
Leucosporidium fragarium	0	1	0	1
Leucosporidium golubevii	0	1	0	0
Leucostoma persoonii	0	1	0	1
Limacella delicata	0	1	0	1
Limonomyces culmigenus	0	2	0	2
Lindgomyces apiculatus	0	1	0	1
Lindgomyces lemonweirensis	0	1	0	1
Lipomyces lipofer	0	1	1	1
Lipomycetaceae	1	0	0	0
Lobariella pallidocrenulata	0	1	0	1
Lodderomyces elongisporus	0	1	1	1
Lopadostoma polynesium	0	1	0	1
Lophiostoma macrostomum	0	1	0	1
Lophiostoma multiseptatum	0	15	0	1
Lophiostomataceae	115	0	0	115
Lophiotrema eburnoides	0	3	0	3
Lophiotrema rubi	0	1	0	1
Lophium mytilinum	0	1	0	1
Lophodermium piceae	0	2	0	2
Lophomerum autumnale	0	1	0	1
Lulworthiaceae	1	0	0	1
Lycoperdaceae	53	0	0	53
Lycoperdon echinatum	0	1	0	0
Lycoperdon ericaeum	0	17	0	3
Lycoperdon lividum	0	16	0	2
Lycoperdon mammiforme	0	1	0	0
Lycoperdon niveum	0	11	0	2
Lycoperdon perlatum	0	2	0	1
Lycoperdon pyriforme	0	1	0	0
Lycoperdon rupicola	0	3	0	1
Lycoperdon utriforme	0	5	0	2
Lyophyllaceae	1	0	0	1
Lyophyllum pseudosinuatum	0	1	0	1
Lyophyllum semitale	0	2	0	1
Macrolepiota procera	0	1	0	1
Macrophomina phaseolina	0	3	0	3
Magnaporthaceae	860	0	0	158
Magnaporthe oryzae	0	5	0	5
Malassezia equina	0	1	0	0
Malassezia restricta	0	59	0	0
Malassezia sympodialis	0	1	1	1
Malasseziales incertae sedis	0	0	0	67
Malasseziales_incertae sedis	68	0	0	0
Marasmiaceae	329	0	0	294
Marasmiellus paspali	0	1	0	0
Marasmiellus tricolor	0	188	0	5
Marasmius limosus	0	2	0	2
Marasmius plicatulus	0	2	2	2
Marasmius rotalis	0	98	0	75
Marasmius rotula	0	2	0	2
Marasmius somalomoensis	0	45	0	22
Mariannaea samuelsii	0	1	0	1
Massaria aucupariae	0	1	0	1
Massaria gigantispora	0	4	0	4
Massaria macra	0	1	0	1
Massarinaceae	2	0	0	2
Melampsora epitea	0	4	0	0
Melampsora salicis-albae	0	2	0	0
Melampsoraceae	6	0	0	6
Melanconis desmazieri	0	1	0	1
Melanoctona tectonae	0	2	0	2
Melanohalea exasperatula	0	1	0	0
Melanoleuca robertiana	0	1	0	0
Melanospora damnosa	0	1	0	0
Melastiza chateri	0	2	0	2
Meliniomyces bicolor	0	30	0	27
Meliniomyces variabilis	0	5	0	4
Menispora manitobaensis	0	1	0	1
Meripilaceae	1	0	0	1
Meristemomyces frigidus	0	12	0	12
Meruliaceae	5	0	0	4
Metacordyceps chlamydosporia	0	1	1	1
Metacordyceps liangshanensis	0	1	0	1
Metarhiziopsis microspora	0	1	0	1
Metarhizium anisopliae	0	1	0	0
Metarhizium carneum	0	1	0	0
Metarhizium marquandii	0	1	1	1
Metarhizium novozealandicum	0	1	0	1
Metschnikowia reukaufii	0	246	198	200
Metschnikowiaceae	245	0	0	47
Meyerozyma guilliermondii	0	1	0	1
Microascaceae	6	0	0	5
Microascus brevicaulis	0	1	0	0
Microascus longicollis	0	2	0	2
Microascus paisii	0	1	0	0
Microbotryaceae	9	0	0	8
Microbotryum bistortarum	0	7	0	0
Microbotryum vinosum	0	1	0	0
Microcera larvarum	0	1	0	1
Microdochium colombiense	0	16	0	12
Microdochium lycopodinum	0	7	0	5
Microdochium phragmitis	0	1	0	0
Minimedusa polyspora	0	0	1	1
Minimelanolocus obscurus	0	1	0	1
Minutisphaera japonica	0	3	0	3
Mobergia calculiformis	0	1	0	1
Modicella malleola	0	1	0	1
Modicella reniformis	0	1	0	1
Moesziomyces aphidis	0	1	0	0
Mollisia cinerea	0	2	0	0
Monoblepharella mexicana	0	1	0	1
Monographella nivalis	0	5	0	2
Monosporascus cannonballus	0	2	0	2
Monticola elongata	0	1	1	1
Morchellaceae	4	0	0	3
Mortierella alpina	0	71	0	6
Mortierella amoeboidea	0	2	1	1
Mortierella cogitans	0	1	0	1
Mortierella cystojenkinii	0	1	0	0
Mortierella exigua	0	38	0	1
Mortierella fimbricystis	0	2	1	1
Mortierella globalpina	0	1	0	1
Mortierella globulifera	0	5	0	0
Mortierella humilis	0	1	0	0
Mortierella hyalina	0	5	1	2
Mortierella lignicola	0	1	0	0
Mortierella paraensis	0	1	0	0
Mortierella parvispora	0	1	0	0
Mortierella pseudozygospora	0	1	1	1
Mortierella rishikesha	0	8	0	1
Mortierella sarnyensis	0	8	0	3
Mortierella stylospora	0	1	0	1
Mortierella zychae	0	1	0	1
Mortierellaceae	151	0	0	148
Mrakia frigida	0	1	0	0
Mucor hiemalis	0	4	2	2
Mucoraceae	5	0	0	3
Muriphaeosphaeria galatellae	0	2	0	2
Murispora galii	0	2	1	2
Murispora hawksworthii	0	18	0	18
Mycena abramsii	0	58	0	0
Mycena adonis var. adonis	0	104	0	37
Mycena alba	0	19	0	19
Mycena albidoaquosa	0	630	0	11
Mycena algeriensis	0	1	0	0
Mycena amabilissima	0	8	0	5
Mycena amicta	0	4	0	4
Mycena aurantiidisca	0	1	0	1
Mycena belliarum	0	6	0	6
Mycena capillaripes	0	32	0	2
Mycena cinerella	0	663	0	79
Mycena clavata	0	1	0	1
Mycena flavoalba	0	177	0	116
Mycena laevigata	0	18	0	17
Mycena maculata	0	4	0	2
Mycena maurella	0	59	0	28
Mycena metata	0	46	0	4
Mycena olida	0	1	0	0
Mycena oregonensis	0	6	0	6
Mycena plumbea	0	45	0	1
Mycena polygramma	0	50	0	13
Mycena pura	0	2	0	0
Mycena rebaudengoi	0	409	0	242
Mycena romagnesiana	0	1	0	1
Mycena sanguinolenta	0	2	0	2
Mycena septentrionalis	0	4	0	1
Mycena speirea	0	10	0	10
Mycena stipata	0	2	0	2
Mycena strobilinoidea	0	19	0	2
Mycena terena	0	1	0	0
Mycena vulgaris	0	2	0	0
Mycena zephirus	0	36	0	3
Mycenaceae	3506	0	0	3506
Mycenella trachyspora	0	29	0	29
Mycetinis querceus	0	1	0	0
Mycoacia fuscoatra	0	1	0	0
Mycocentrospora acerina	0	2	0	2
Mycosphaerella pseudocryptica	0	1	0	1
Mycosphaerella punctiformis	0	1	0	0
Mycosphaerella recutita	0	1	0	1
Mycosphaerella tassiana	0	194	0	34
Mycosphaerellaceae	214	0	0	214
Myriospora scabrida	0	1	0	1
Myrmecridium banksiae	0	1	0	1
Myrmecridium schulzeri	0	4	0	3
Myxotrichaceae	5	0	0	5
Myxotrichum chartarum	0	2	0	2
Naganishia adeliensis	0	293	0	4
Naganishia albida	0	1	0	0
Naganishia bhutanensis	0	4	0	1
Naganishia diffluens	0	24	0	1
Naganishia randhawae	0	1	0	0
Naganishia uzbekistanensis	0	1	0	0
Naganishia vishniacii	0	1	0	0
Nakataea oryzae	0	2	0	1
Nannizziopsis crocodili	0	1	0	1
Naohidea sebacea	0	2	0	2
Natantispora unipolaris	0	1	0	1
Naucoria tantilla	0	1	0	0
Nectria ramulariae	0	44	0	23
Nectria zangii	0	1	0	1
Nectriaceae	551	0	0	551
Neoascochyta europaea	0	14	0	14
Neoascochyta exitialis	0	5	0	5
Neoascochyta graminicola	0	6	0	6
Neocatenulostroma microsporum	0	2	0	1
Neocordana musicola	0	1	0	1
Neodeightonia palmicola	0	1	0	1
Neofabraea vagabunda	0	1	0	1
Neonectria major	0	1	0	1
Neopestalotiopsis foedans	0	1	0	0
Neophaeomoniella niveniae	0	3	0	3
Neosphaerellopsis thailandica	0	1	0	1
Neostagonospora caricis	0	1	0	1
Neotyphodium asiegelii	0	763	0	91
Neotyphodium tembladerae	0	3	0	0
Neurospora terricola	0	1	1	1
Nidulariaceae	2	0	0	2
Nidulariopsis iowensis	0	12	1	2
Nigrospora oryzae	0	2	0	1
Nodulosphaeria aconiti	0	6	0	6
Nodulosphaeria hirta	0	2	0	2
Nodulosphaeria spectabilis	0	2	0	2
Nothomitra cinnamomea	0	1	0	1
Nyssopsora koelreuteriae	0	1	0	1
Ochroconis bacilliformis	0	2	1	2
Octaviania cyanescens	0	2	0	2
Oculimacula yallundae	0	1	0	1
Oedocephalum adhaerens	0	1	0	1
Oidiodendron cereale	0	1	0	1
Oidiodendron echinulatum	0	1	0	1
Oidiodendron griseum	0	2	0	0
Oidiodendron maius	0	3	0	1
Oidiodendron tenuissimum	0	2	0	2
Oidiodendron truncatum	0	1	0	0
Oleoguttula mirabilis	0	3	0	3
Olpidium brassicae	0	2	1	2
Ophidiomyces ophiicola	0	1	0	1
Ophioceras dolichostomum	0	3	0	3
Ophiocordyceps arborescens	0	1	0	1
Ophiocordyceps xuefengensis	0	14	0	14
Ophiocordycipitaceae	2	0	0	2
Ophiognomonia asiatica	0	1	0	1
Ophiognomonia sogonovii	0	1	0	1
Ophiosphaerella korrae	0	3	0	3
Ophiostoma aurorae	0	1	0	0
Ophiostomataceae	2	0	0	2
Orbilia flavida	0	1	0	1
Orbilia gambelii	0	2	0	2
Orbiliaceae	5	0	0	5
Ossicaulis lachnopus	0	1	0	1
Ostropa barbara	0	1	0	1
Otidea cantharella	0	1	0	1
Pachnocybe ferruginea	0	1	0	1
Paecilomyces penicillatus	0	1	0	1
Panaeolus antillarum	0	5	0	3
Panaeolus guttulatus var. guttulatus	0	3	0	3
Panaeolus papilionaceus	0	2	0	2
Pandora bullata	0	1	0	1
Pandora kondoiensis	0	1	0	1
Papiliotrema laurentii	0	2	0	2
Papiliotrema nemorosus	0	2	0	2
Paraboeremia selaginellae	0	4	0	4
Paracamarosporium fagi	0	1	0	1
Paraconiothyrium brasiliense	0	2	0	2
Paraglomeraceae	2	0	0	2
Paralepista flaccida	0	1	1	1
Paraleptosphaeria dryadis	0	1	0	1
Paraleptosphaeria orobanches	0	1	0	1
Paraphaeosphaeria arecacearum	0	1	0	1
Paraphaeosphaeria pilleata	0	10	0	10
Paraphoma chrysanthemicola	0	14	0	3
Paraphoma fimeti	0	9	0	6
Parasola lilatincta	0	1	0	0
Parastagonospora avenae	0	39	0	38
Parmeliaceae	1	0	0	1
Passalora californica	0	1	0	0
Passalora fulva	0	2	0	2
Paucispora quadrispora	0	1	0	1
Paxillaceae	1	0	0	1
Paxillus involutus	0	1	0	0
Pectenia plumbea	0	1	0	1
Peltigera leucophlebia	0	1	0	1
Peltigera monticola	0	1	0	0
Peltigeraceae	2	0	0	2
Penicillium aethiopicum	0	27	0	2
Penicillium angulare	0	1	0	0
Penicillium astrolabium	0	2	0	0
Penicillium atrosanguineum	0	1	0	1
Penicillium bialowiezense	0	1	0	0
Penicillium brocae	0	1	0	1
Penicillium citreonigrum	0	1	0	1
Penicillium colei	0	1	0	0
Penicillium godlewskii	0	1	0	0
Penicillium hennebertii	0	1	0	0
Penicillium incoloratum	0	1	0	1
Penicillium jamesonlandense	0	3	0	0
Penicillium jensenii	0	3	0	0
Penicillium kewense	0	1	0	0
Penicillium nilense	0	1	0	0
Penicillium polonicum	0	1	0	0
Penicillium rolfsii	0	1	0	0
Penicillium roseopurpureum	0	1	0	0
Penicillium scabrosum	0	2	0	0
Penicillium simplicissimum	0	1	0	0
Penicillium soppii	0	1	0	0
Penicillium sublectaticum	0	2	0	0
Penicillium swiecickii	0	4	0	0
Peniophora lycii	0	2	0	0
Peniophora piceae	0	1	0	0
Peniophora pithya	0	1	0	0
Peniophoraceae	11	0	0	11
Peniophorella echinocystis	0	0	1	1
Periconia homothallica	0	1	0	1
Peristomialis corynospora	0	1	0	1
Perusta inaequalis	0	14	0	14
Pestalotiopsis diversiseta	0	1	0	1
Petrakia irregularis	0	2	0	2
Pezicula heterochroma	0	1	0	0
Pezicula pruinosa	0	9	0	9
Pezicula rubi	0	1	0	1
Pezicula subcarnea	0	3	0	3
Pezizaceae	3	0	0	2
Pezizella epithallina	0	1	0	1
Pezizomycotina incertae sedis	32	0	0	66
Pezizomycotina_incertae sedis	37	0	0	0
Pezoloma ciliifera	0	1	0	1
Pezoloma ericae	0	12	3	11
Phacidium grevilleae	0	1	0	1
Phacidium lacerum	0	2	0	2
Phacidium pseudophacidioides	0	1	0	1
Phaeoacremonium croatiense	0	1	0	1
Phaeoacremonium inflatipes	0	3	0	3
Phaeoacremonium rubrigenum	0	2	0	2
Phaeoacremonium sicilianum	0	1	0	1
Phaeoacremonium viticola	0	3	0	3
Phaeoclavulina abietina	0	2	0	2
Phaeoclavulina curta	0	3	1	3
Phaeococcomyces catenatus	0	1	0	1
Phaeococcomyces mexicanus	0	1	0	1
Phaeodactylium stadleri	0	0	1	1
